Title,Year,Author,Publication,Cited,URL
Enhancing higher-order thinking skills using discovery learning model’s on acid-base pH material,2018,"Authors : RB Rudibyani, R Perdana","AIP Conference Proceedings 2014 (1), 2018",13 cited,https://scholar.google.com/scholar?q=+intitle:'Enhancing higher-order thinking skills using discovery learning model’s on acid-base pH material'
Pengembangan Modul Kimia Berbasis Problem Solving Pada Materi Asam Basa Arrhenius,2018,"Authors : H Ulya, RB Rudibyani, T Efkar","Jurnal Pendidikan Dan Pembelajaran Kimia 7 (1), 129-141",14 cited,https://scholar.google.com/scholar?q=+intitle:'Pengembangan Modul Kimia Berbasis Problem Solving Pada Materi Asam Basa Arrhenius'
The Effect of Problem-Solving Model to Improve Communicating Skills and Mastery Concept in Chemistry,2018,Authors : RB Rudibyani,"3rd Annual International Seminar on Transformative Education and Educational …, 2018",4 cited,https://scholar.google.com/scholar?q=+intitle:'The Effect of Problem-Solving Model to Improve Communicating Skills and Mastery Concept in Chemistry'
Enhancing Students' Cognitive Outcome in Chemistry by Guided Inquiry Learning Models,2018,Authors : R Perdana,"International Journal of Sciences: Basic and Applied Research (IJSBAR) 37 …, 2018",8 cited,https://scholar.google.com/scholar?q=+intitle:'Enhancing Students' Cognitive Outcome in Chemistry by Guided Inquiry Learning Models'
Efektivitas Problem Based Learning Untuk Meningkatkan Kemampuan Berfikir Lancar Siswa Pada Materi Larutan Penyangga,2018,"Authors : A Amelia, RB Rudibyani, T Efkar",Jurnal Pendidikan dan Pembelajaran Kimia 7 (2),0 cited,https://scholar.google.com/scholar?q=+intitle:'Efektivitas Problem Based Learning Untuk Meningkatkan Kemampuan Berfikir Lancar Siswa Pada Materi Larutan Penyangga'
Efektivitas Model PBL Untuk Meningkatkan Kemampuan Berfikir Lancar Pada Materi Larutan Penyangga,2018,"Authors : A Amelia, RB Rudibyani, T Efkar","Jurnal Pendidikan dan Pembelajaran Kimia 7 (2), 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'Efektivitas Model PBL Untuk Meningkatkan Kemampuan Berfikir Lancar Pada Materi Larutan Penyangga'
Enhancing students’ cognitive outcome in chemistry by guided inquiry learning models,2018,"Authors : R Perdana, RB Rudibyani","International journal of sciences: Basic and applied research 37 (3), 41-51",8 cited,https://scholar.google.com/scholar?q=+intitle:'Enhancing students’ cognitive outcome in chemistry by guided inquiry learning models'
Enhancing Students' Cognitive Outcome in Chemistry by Guided Inquiry Learning Models.,2018,"Authors : R Perdana, RB Rudibyani","International Journal of Sciences: Basic and Applied Research (IJSBAR), 2018",7 cited,https://scholar.google.com/scholar?q=+intitle:'Enhancing Students' Cognitive Outcome in Chemistry by Guided Inquiry Learning Models.'
The Effect of Problem-Solving Model to Improve Communicating Skills and Mastery Concept in Chemistry.,2018,Authors : RB Rudibyani,"Advances in Social Science, Education and Humanities Research",2 cited,https://scholar.google.com/scholar?q=+intitle:'The Effect of Problem-Solving Model to Improve Communicating Skills and Mastery Concept in Chemistry.'
PELATIHAN PENYUSUNAN LAPORAN KEUANGAN SECARA MANUAL DAN DIGITAL UNTUK START UP COMPANY,2018,"Authors : C Sukmadilaga, S Sudrajat, U Khasanah, TU Lestari, MC Devi, A Ardian","Dharmakarya 7 (3), 209-212, 2018",11 cited,https://scholar.google.com/scholar?q=+intitle:'PELATIHAN PENYUSUNAN LAPORAN KEUANGAN SECARA MANUAL DAN DIGITAL UNTUK START UP COMPANY'
Pengaruh Teman Sebaya Terhadap Perkembangan Social Skill Peserta Didik Kelas XI SMA Global Madani,2018,"Authors : S Oktavia, B Pitoewas, R Rohman","Jurnal Kultur Demokrasi 5 (13), 2018",5 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Teman Sebaya Terhadap Perkembangan Social Skill Peserta Didik Kelas XI SMA Global Madani'
Internalisasi Nilai Demokrasi Pancasila Pengurus Osis Menurut Permendiknas No. 39 Tahun 2008,2018,"Authors : DR Sari, Y Nurmalisa, R Rohman","Jurnal Kultur Demokrasi 5 (13), 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'Internalisasi Nilai Demokrasi Pancasila Pengurus Osis Menurut Permendiknas No. 39 Tahun 2008'
